,title,id,downloads,episodes_per_week
0,Arsenal Vision Post Match Podcast,0ad52ab5-3d4c-41cc-a16f-d3a73f220fb4,165269,2.25
1,London Is Blue - Chelsea FC Soccer Podcast,a5199b81-00cd-4992-9409-f7dea9bb2209,136257,3.25
2,Pack-A-Day: Your Daily Packers Podcast,49112a7c-4734-46b6-8b6d-dc75390d9e5f,120424,7.75
3,Insight with Chris Van Vliet,a6c2fb18-b21a-4b4b-b03f-63d4be8309c3,100752,3.0
4,The Dane Moore NBA Podcast,693d4917-6863-4312-8782-36d9573665c7,89019,5.0
5,Laker Film Room - Dedicated to the Study of Lakers Basketball,d9f9dd05-52af-498c-88f7-5331d9cc69ac,86533,2.0
6,Knicks Film School,174f84ab-e4f8-492e-9f9e-58512e39731a,79605,6.75
7,Purple Insider - a Minnesota Vikings and NFL podcast,8aa5ef4f-0ccb-4146-b3b4-21fff5e06450,79059,6.0
8,Light Years: A Golden State Warriors Pod,68cb72dd-f267-47ba-ae1c-a5931a5bb780,71463,4.0
9,The Rapcast by Raptors Republic,a388929b-775e-4b13-a5d3-f2bc61a60095,67183,7.25
10,Irish Breakdown,ee86d294-2c95-49f3-9f63-6c353ce79b94,63922,8.75
11,Rotoviz Radio,59e5788d-ef6c-4ecf-ad6e-c90dd60e0237,62871,8.5
12,Always Cheating: A Fantasy Premier League Podcast (FPL),0e3a8b22-7bb0-426e-ae91-9927274b0da2,62785,1.25
13,The Bronx Pinstripes Show - Yankees MLB Podcast,e1cde930-4b87-43a8-8ffe-220f51ecfdcb,62726,1.25
14,Touchline Fracas: A Premier League Football Podcast ( Arsenal Chelsea Liverpool Spurs Manchester United ),88b3aada-c54c-46b4-81d7-7d30e4d260a0,56608,6.25
15,The Miami Heat Beat Podcast,04e48205-c16a-4204-82cc-27d568f90a3a,53890,5.75
16,Washed Up Walkons,4a823cde-883d-4ba2-80c8-9c6bc461f0a7,51800,2.25
17,Keeping Karlsson Fantasy Hockey Podcast,82514447-3f80-44a1-bb5b-d79c92f7095e,51395,3.5
18,Burn It All Down,c66dbabd-883c-4ede-aac7-02f446b6bd45,45494,3.0
19,The Hockey PDOcast,4dd8427e-5fe2-4662-9f90-3317e05811be,40261,0.75
20,Dropping the Gloves,15d13272-a9ca-4059-bfa7-7579f27a22b8,38679,1.5
21,Knicks Fan TV: The Podcast,2ed7f02e-c094-4eff-bdb2-4eac35d2a579,34011,6.25
22,The Compound - MLB Player Podcast,8e71b37d-b7fc-4dfc-b4b3-f4a48489894c,29140,1.0
23,Destination Devy Podcast,54fa0cbe-8742-4c31-88d2-88494022a9dd,28362,2.25
24,Vegas Nation - Raiders Football,4e8b8fa7-0eef-4a5a-8663-f7d580eae313,28264,3.5
25,Big Blue Banter: A New York Giants Football Podcast,7b09dead-82e6-4643-960d-03e5e820a856,26103,3.0
26,Striking Gold: A 49ers Pod,142b8ba1-fb2e-4e89-87e5-d2283d356824,24659,1.75
27,Candlestick Chronicles: A 49ers Pod,e2528765-60f1-479f-a9fb-17995ad9ba8c,24529,2.0
28,The Barcelona Podcast,d7694a44-5ddc-48df-b78d-631cc6301da1,24339,1.5
29,Talking Fussball,1d996eea-143d-4a5b-ae68-8b84f0a0b7b7,22550,3.0
30,Better Rivals: A San Francisco 49ers Podcast,091d276c-2676-4a45-b73b-09a5023d4d12,21406,0.75
31,The Staff & Graph Podcast,0c4b9698-0584-4dff-be29-e8e6e2f9d5c2,18740,2.0
32,Spinsters,f0439548-bd72-4599-bc9b-7c4c66f5fab9,18084,0.75
