,title,id,downloads,episodes_per_week
0,London Is Blue - Chelsea FC Soccer Podcast,a5199b81-00cd-4992-9409-f7dea9bb2209,152004,3.25
1,Pack-A-Day: Your Daily Packers Podcast,49112a7c-4734-46b6-8b6d-dc75390d9e5f,134837,7.75
2,Laker Film Room - Dedicated to the Study of Lakers Basketball,d9f9dd05-52af-498c-88f7-5331d9cc69ac,128903,3.0
3,Insight with Chris Van Vliet,a6c2fb18-b21a-4b4b-b03f-63d4be8309c3,95614,3.0
4,The Dane Moore NBA Podcast,693d4917-6863-4312-8782-36d9573665c7,92596,5.75
5,Dropping the Gloves,15d13272-a9ca-4059-bfa7-7579f27a22b8,90659,3.25
6,Purple Insider - a Minnesota Vikings and NFL podcast,8aa5ef4f-0ccb-4146-b3b4-21fff5e06450,80209,6.75
7,Always Cheating: A Fantasy Premier League Podcast (FPL),0e3a8b22-7bb0-426e-ae91-9927274b0da2,76109,1.25
8,Light Years: A Golden State Warriors Pod,68cb72dd-f267-47ba-ae1c-a5931a5bb780,72868,3.75
9,Rotoviz Radio,59e5788d-ef6c-4ecf-ad6e-c90dd60e0237,71578,9.0
10,The Bronx Pinstripes Show - Yankees MLB Podcast,e1cde930-4b87-43a8-8ffe-220f51ecfdcb,69561,1.25
11,Knicks Film School,174f84ab-e4f8-492e-9f9e-58512e39731a,69416,6.25
12,Irish Breakdown,ee86d294-2c95-49f3-9f63-6c353ce79b94,65580,9.25
13,Touchline Fracas: A Premier League Football Podcast ( Arsenal Chelsea Liverpool Spurs Manchester United ),88b3aada-c54c-46b4-81d7-7d30e4d260a0,59433,6.75
14,Keeping Karlsson Fantasy Hockey Podcast,82514447-3f80-44a1-bb5b-d79c92f7095e,57989,3.25
15,The Miami Heat Beat Podcast,04e48205-c16a-4204-82cc-27d568f90a3a,55686,6.25
16,Arsenal Vision Post Match Podcast,0ad52ab5-3d4c-41cc-a16f-d3a73f220fb4,54685,2.25
17,Washed Up Walkons,4a823cde-883d-4ba2-80c8-9c6bc461f0a7,51245,2.25
18,The Hockey PDOcast,4dd8427e-5fe2-4662-9f90-3317e05811be,46195,1.0
19,Burn It All Down,c66dbabd-883c-4ede-aac7-02f446b6bd45,43503,2.5
20,The Compound - MLB Player Podcast,8e71b37d-b7fc-4dfc-b4b3-f4a48489894c,35477,1.25
21,Destination Devy Podcast,54fa0cbe-8742-4c31-88d2-88494022a9dd,32687,2.75
22,The Rapcast by Raptors Republic,a388929b-775e-4b13-a5d3-f2bc61a60095,32046,8.25
23,Striking Gold: A 49ers Pod,142b8ba1-fb2e-4e89-87e5-d2283d356824,28662,1.25
24,Vegas Nation - Raiders Football,4e8b8fa7-0eef-4a5a-8663-f7d580eae313,27468,3.5
25,Candlestick Chronicles: A 49ers Pod,e2528765-60f1-479f-a9fb-17995ad9ba8c,26917,2.25
26,The Barcelona Podcast,d7694a44-5ddc-48df-b78d-631cc6301da1,26709,2.0
27,American Prodigy: Freddy Adu,a0f07f5d-9c46-4815-ae9e-9977e0a6c654,26281,0.0
