,title,id,downloads,episodes_per_week
0,Pack-A-Day: Your Daily Packers Podcast,49112a7c-4734-46b6-8b6d-dc75390d9e5f,147084,7.75
1,London Is Blue - Chelsea FC Soccer Podcast,a5199b81-00cd-4992-9409-f7dea9bb2209,142516,3.0
2,Laker Film Room - Dedicated to the Study of Lakers Basketball,d9f9dd05-52af-498c-88f7-5331d9cc69ac,132690,3.0
3,Insight with Chris Van Vliet,a6c2fb18-b21a-4b4b-b03f-63d4be8309c3,98241,3.0
4,Dropping the Gloves,15d13272-a9ca-4059-bfa7-7579f27a22b8,88011,3.25
5,The Dane Moore NBA Podcast,693d4917-6863-4312-8782-36d9573665c7,80977,5.5
6,Always Cheating: A Fantasy Premier League Podcast (FPL),0e3a8b22-7bb0-426e-ae91-9927274b0da2,78049,1.5
7,Purple Insider - a Minnesota Vikings and NFL podcast,8aa5ef4f-0ccb-4146-b3b4-21fff5e06450,77927,6.75
8,The Bronx Pinstripes Show - Yankees MLB Podcast,e1cde930-4b87-43a8-8ffe-220f51ecfdcb,72329,1.25
9,Light Years: A Golden State Warriors Pod,68cb72dd-f267-47ba-ae1c-a5931a5bb780,71382,3.5
10,Rotoviz Radio,59e5788d-ef6c-4ecf-ad6e-c90dd60e0237,66222,8.75
11,Knicks Film School,174f84ab-e4f8-492e-9f9e-58512e39731a,61007,5.75
12,Keeping Karlsson Fantasy Hockey Podcast,82514447-3f80-44a1-bb5b-d79c92f7095e,59662,3.25
13,Touchline Fracas: A Premier League Football Podcast ( Arsenal Chelsea Liverpool Spurs Manchester United ),88b3aada-c54c-46b4-81d7-7d30e4d260a0,58830,6.5
14,Irish Breakdown,ee86d294-2c95-49f3-9f63-6c353ce79b94,58692,8.0
15,The Miami Heat Beat Podcast,04e48205-c16a-4204-82cc-27d568f90a3a,54181,6.75
16,Washed Up Walkons,4a823cde-883d-4ba2-80c8-9c6bc461f0a7,49895,2.25
17,The Hockey PDOcast,4dd8427e-5fe2-4662-9f90-3317e05811be,47325,1.0
18,Burn It All Down,c66dbabd-883c-4ede-aac7-02f446b6bd45,39956,2.25
19,American Prodigy: Freddy Adu,a0f07f5d-9c46-4815-ae9e-9977e0a6c654,39606,0.0
20,The Compound - MLB Player Podcast,8e71b37d-b7fc-4dfc-b4b3-f4a48489894c,34433,1.25
21,Destination Devy Podcast,54fa0cbe-8742-4c31-88d2-88494022a9dd,29972,2.5
22,Striking Gold: A 49ers Pod,142b8ba1-fb2e-4e89-87e5-d2283d356824,28830,1.25
23,Better Rivals: A San Francisco 49ers Podcast,091d276c-2676-4a45-b73b-09a5023d4d12,28286,1.0
24,Vegas Nation - Raiders Football,4e8b8fa7-0eef-4a5a-8663-f7d580eae313,26792,3.5
25,Big Blue Banter: A New York Giants Football Podcast,7b09dead-82e6-4643-960d-03e5e820a856,25363,2.5
26,Talking Fussball,1d996eea-143d-4a5b-ae68-8b84f0a0b7b7,23579,2.75
27,The Barcelona Podcast,d7694a44-5ddc-48df-b78d-631cc6301da1,23452,1.75
28,Candlestick Chronicles: A 49ers Pod,e2528765-60f1-479f-a9fb-17995ad9ba8c,20636,1.5
29,Knicks Fan TV: The Podcast,2ed7f02e-c094-4eff-bdb2-4eac35d2a579,19130,5.75
30,Veteran's Minimum,3d054b21-26f9-44c0-9531-d164c69791ae,18183,2.75
31,The Staff & Graph Podcast,0c4b9698-0584-4dff-be29-e8e6e2f9d5c2,17896,2.25
32,The Chase Down: A Cleveland Cavaliers Pod,77a81860-0123-43ba-ade8-92f760fea19d,14526,2.25
33,The Timeline: A Phoenix Suns Podcast,a9d2fff7-eb1f-48f5-a5c1-6633b4f3e600,13851,1.75
34,Rams Talk Radio,e0dd45f9-41dd-4066-8fde-6364e47a9a1c,13279,1.75
35,Preediction,9abdb278-d2ff-4e82-b3fc-308d7736c8b1,13066,5.5
36,Cubs Related: A Chicago Cubs Podcast,649a9132-4298-4d65-b650-8360b693520e,12712,1.25
37,Brooklyn Buzz: A Brooklyn Nets Podcast,f7559668-17a6-482e-bdbc-b14806bfff43,12674,4.0
38,The Uncontested OKC Thunder Podcast,74d8724c-294d-497b-b099-1f97e582fe80,12265,4.25
39,The Pride Podcast: A Detroit Lions Podcast,b0caa05e-74c2-49ba-a4cf-a276c78978ef,11571,1.25
40,Hardwood Knocks: An NBA Podcast,b7b22356-216e-4a76-b461-85e551a1dae3,11009,1.5
